PERSON_TYPE,PERSON_AGE,PERSON_INJURY,EJECTION,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PERSON_SEX
Occupant,21-50,Injured,Not Ejected,Head,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Pedestrian,21-50,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,M
Bicyclist,51-70,Injured,Ejected,Face,Driver,None,,,Severe Bleeding,F
Occupant,0-20,Injured,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Not in Roadway,Severe Bleeding,F
Occupant,51-70,Injured,Not Ejected,Neck,"Middle rear seat, or passenger lying across a seat",Unknown,,,Complaint of Pain or Nausea,F
Occupant,51-70,Injured,Not Ejected,Back,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt,,,Complaint of Pain or Nausea,F
Occupant,0-20,Injured,Not Ejected,Hip-Upper Leg,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Air Bag Deployed/Lap Belt/Harness,,,Complaint of Pain or Nausea,F
Occupant,21-50,Injured,Not Ejected,Abdomen - Pelvis,Driver,Lap Belt,,,Complaint of Pain or Nausea,F
Occupant,21-50,Injured,Not Ejected,Neck,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Pedestrian,71-100,Killed,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unknown,Internal,F
Pedestrian,71-100,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Contusion - Bruise,F
Occupant,21-50,Injured,,,,,,,,
Occupant,71-100,Killed,Not Ejected,Head,Right rear passenger or motorcycle sidecar passenger,None,,,Severe Bleeding,M
Pedestrian,21-50,Injured,,,,,,,,
Pedestrian,71-100,Injured,,,,,,,,
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, Marked Crosswalk",Internal,F
Occupant,51-70,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,71-100,Injured,Not Ejected,Head,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Complaint of Pain,M
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Entire Body,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,Not Ejected,Abdomen - Pelvis,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,F
Occupant,51-70,Killed,Trapped,Entire Body,"Front passenger, if two or more persons, including the driver, are in the front seat",Air Bag Deployed/Lap Belt/Harness,,,Internal,M
Bicyclist,21-50,Injured,Ejected,Head,Driver,None,,,Abrasion,M
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,Driver,Lap Belt & Harness,,,Complaint of Pain,F
Pedestrian,51-70,Killed,,,,,,,,
Bicyclist,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Bicyclist,21-50,Injured,Ejected,Knee-Lower Leg Foot,Driver,None,,,Complaint of Pain,M
Occupant,0-20,Injured,,,,,,,,
Pedestrian,71-100,Killed,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unknown,Severe Bleeding,F
Occupant,51-70,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Injured,Not Ejected,Head,Driver,Lap Belt & Harness,,,Complaint of Pain,F
Occupant,0-20,Killed,Not Ejected,Entire Body,Driver,Lap Belt & Harness,,,Severe Burn,M
Pedestrian,21-50,Killed,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Shoulder - Upper Arm,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain,M
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Severe Bleeding,M
Occupant,51-70,Injured,Not Ejected,Chest,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,21-50,Killed,,,,,,,,
Occupant,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Head,Driver,Lap Belt & Harness,,,None Visible,M
Occupant,51-70,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,,,Internal,M
Bicyclist,51-70,Killed,,,,,,,,
Pedestrian,51-70,Killed,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,0-20,Injured,Not Ejected,Back,Right rear passenger or motorcycle sidecar passenger,Unknown,,,Complaint of Pain,F
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Fracture - Dislocation,M
Occupant,0-20,Injured,,,,,,,,
Pedestrian,51-70,Injured,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,Ejected,Head,Riding/Hanging on Outside,Helmet (Motorcycle Only),,,Severe Bleeding,M
Occupant,21-50,Injured,Not Ejected,Back,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Complaint of Pain,F
Pedestrian,51-70,Killed,,Head,,,Does Not Apply,Not in Roadway,Severe Bleeding,F
Occupant,21-50,Killed,,,,,,,,
Bicyclist,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Bicyclist,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Head,Driver,Other,,,Severe Bleeding,M
Occupant,21-50,Injured,Not Ejected,Back,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,0-20,Injured,Not Ejected,Chest,"Middle rear seat, or passenger lying across a seat",Lap Belt & Harness,,,Complaint of Pain,F
Occupant,21-50,Killed,,,,,,,,
Occupant,51-70,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Neck,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Lap Belt & Harness,,,Complaint of Pain,F
Pedestrian,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,71-100,Injured,Not Ejected,Head,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Occupant,71-100,Injured,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Severe Bleeding,M
Bicyclist,0-20,Injured,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,Driver,Lap Belt & Harness,,,Complaint of Pain,M
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Internal,F
Occupant,21-50,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Complaint of Pain or Nausea,M
Bicyclist,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Elbow-Lower-Arm-Hand,Driver,Air Bag Deployed/Lap Belt,,,Abrasion,F
Occupant,21-50,Injured,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Pedestrian,51-70,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Internal,M
Occupant,71-100,Injured,,,,,,,,
Pedestrian,51-70,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain or Nausea,F
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Minor Bleeding,M
Pedestrian,0-20,Injured,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Killed,Ejected,Head,Driver,Helmet (Motorcycle Only),,,Severe Bleeding,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,None Visible,M
Occupant,0-20,Injured,,,,,,,,
Occupant,51-70,Injured,Not Ejected,Neck,Driver,Lap Belt & Harness,,,Concussion,M
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,Does Not Apply,Head,Does Not Apply,-,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Internal,F
Pedestrian,71-100,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Knee-Lower Leg Foot,Driver,Lap Belt,,,Complaint of Pain or Nausea,M
Occupant,21-50,Killed,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,21-50,Killed,Partially Ejected,Chest,Driver,Helmet (Motorcycle Only),,,Internal,M
Bicyclist,21-50,Injured,,,,,,,,
Pedestrian,51-70,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Crush Injuries,M
Occupant,0-20,Killed,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Unknown,F
Occupant,71-100,Injured,,,,,,,,
Occupant,21-50,Killed,Ejected,Chest,Driver,None,,,Complaint of Pain or Nausea,M
Occupant,21-50,Killed,Not Ejected,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,F
Occupant,21-50,Injured,Not Ejected,Unknown,Driver,Lap Belt & Harness,,,Unknown,M
Pedestrian,71-100,Killed,Does Not Apply,Entire Body,Does Not Apply,-,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Severe Bleeding,F
Bicyclist,21-50,Killed,Not Ejected,Abdomen - Pelvis,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,0-20,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Crush Injuries,F
Occupant,21-50,Killed,Not Ejected,Head,Driver,Air Bag Deployed,,,Internal,M
Occupant,71-100,Injured,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Head,Driver,Unknown,,,Complaint of Pain or Nausea,F
Pedestrian,51-70,Injured,,Elbow-Lower-Arm-Hand,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Other Actions in Roadway,Complaint of Pain or Nausea,F
Pedestrian,21-50,Injured,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Complaint of Pain or Nausea,M
Occupant,21-50,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain or Nausea,F
Occupant,51-70,Killed,Not Ejected,Chest,Driver,Lap Belt & Harness,,,Unknown,M
Occupant,0-20,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Back,Driver,Lap Belt & Harness,,,None Visible,M
Occupant,21-50,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Bicyclist,0-20,Killed,Ejected,Head,Driver,Unknown,,,Internal,F
Occupant,0-20,Injured,Not Ejected,Hip-Upper Leg,"Middle front seat, or passenger lying across a seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,F
Occupant,0-20,Injured,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,21-50,Injured,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Complaint of Pain or Nausea,F
Occupant,21-50,Injured,,,,,,,,
Bicyclist,51-70,Killed,Not Ejected,Head,Driver,None,,,Severe Bleeding,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Severe Bleeding,M
Pedestrian,21-50,Injured,,Shoulder - Upper Arm,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Complaint of Pain,F
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unknown,Fracture - Distorted - Dislocation,F
Pedestrian,51-70,Killed,Not Ejected,Entire Body,,None,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, Marked Crosswalk",Internal,M
Occupant,21-50,Injured,Not Ejected,Face,"Middle rear seat, or passenger lying across a seat",Unknown,,,Minor Bleeding,M
Pedestrian,21-50,Injured,,Shoulder - Upper Arm,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain or Nausea,M
Pedestrian,0-20,Killed,,,,,,,,
Pedestrian,21-50,Injured,,,,,,,,
Bicyclist,21-50,Injured,Ejected,Elbow-Lower-Arm-Hand,Riding/Hanging on Outside,None,,,Complaint of Pain,M
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Internal,M
Occupant,0-20,Killed,,,,,,,,
Occupant,51-70,Killed,Ejected,Entire Body,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,71-100,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,51-70,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Internal,M
Occupant,51-70,Killed,Ejected,Head,Driver,Helmet (Motorcycle Only),,,Internal,M
Occupant,71-100,Killed,Not Ejected,Head,Driver,Unknown,,,Internal,M
Occupant,71-100,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain,M
Occupant,51-70,Killed,Not Ejected,Unknown,Driver,Lap Belt & Harness,,,Unknown,M
Pedestrian,21-50,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, or Crosswalk",Internal,F
Occupant,51-70,Injured,,,,,,,,
Pedestrian,51-70,Injured,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Complaint of Pain or Nausea,M
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Face,Right rear passenger or motorcycle sidecar passenger,Unknown,,,Complaint of Pain or Nausea,F
Pedestrian,0-20,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,0-20,Killed,Trapped,Entire Body,Driver,Lap Belt & Harness,,,Internal,M
Occupant,51-70,Injured,Not Ejected,Unknown,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Whiplash,F
Pedestrian,51-70,Injured,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Hip-Upper Leg,Driver,Helmet (Motorcycle Only),,,Internal,M
Pedestrian,51-70,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Bicyclist,21-50,Killed,Ejected,Unknown,Driver,Unknown,,,Unknown,M
Pedestrian,51-70,Killed,,Abdomen - Pelvis,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Working in Roadway,Internal,M
Occupant,21-50,Killed,Not Ejected,Entire Body,Driver,Unknown,,,Internal,M
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Minor Bleeding,M
Occupant,71-100,Killed,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Pedestrian,71-100,Killed,,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,None Visible,M
Bicyclist,71-100,Killed,,,,,,,,
Pedestrian,21-50,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,"Front passenger, if two or more persons, including the driver, are in the front seat",Air Bag Deployed/Lap Belt/Harness,,,Fracture - Dislocation,M
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,Driver,Lap Belt & Harness,,,Complaint of Pain,M
Occupant,21-50,Injured,,,,,,,,
Occupant,51-70,Killed,Not Ejected,Unknown,Driver,Unknown,,,Internal,M
Pedestrian,0-20,Injured,Not Ejected,Knee-Lower Leg Foot,Unknown,None,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Complaint of Pain or Nausea,F
Occupant,21-50,Killed,,,,,,,,
Pedestrian,21-50,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Crush Injuries,F
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,Not Ejected,Entire Body,"Front passenger, if two or more persons, including the driver, are in the front seat",Air Bag Deployed/Lap Belt/Harness,,,Severe Bleeding,M
Pedestrian,21-50,Injured,,,,,,,,
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Other Actions in Roadway,Severe Bleeding,M
Occupant,21-50,Injured,,,,,,,,
Occupant,21-50,Killed,,,,,,,,
Pedestrian,71-100,Killed,,,,,,,,
Occupant,51-70,Killed,,,,,,,,
Pedestrian,0-20,Killed,,,,,,,,
Occupant,21-50,Injured,Not Ejected,Shoulder - Upper Arm,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Unknown,,,Whiplash,M
Occupant,21-50,Injured,Not Ejected,Unknown,Driver,Lap Belt,,,None Visible,F
Pedestrian,71-100,Killed,,,,,,,,
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Severe Bleeding,M
Pedestrian,0-20,Killed,,Head,,None,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Not in Roadway,Fracture - Dislocation,M
Pedestrian,71-100,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing Against Signal,Severe Bleeding,M
Occupant,21-50,Injured,Not Ejected,Unknown,Driver,Lap Belt & Harness,,,Unknown,M
Occupant,21-50,Injured,,,,,,,,
Pedestrian,0-20,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,21-50,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Pedestrian,0-20,Injured,,,,,,,,
Bicyclist,21-50,Killed,Not Ejected,Head,Driver,Helmet Only (In-Line Skater/Bicyclist),,,Internal,F
Occupant,51-70,Injured,,,,,,,,
Pedestrian,51-70,Killed,,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Other Actions in Roadway,Internal,M
Occupant,21-50,Killed,Not Ejected,Knee-Lower Leg Foot,Driver,Unknown,,,Unknown,M
Pedestrian,51-70,Killed,,Head,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Internal,M
Bicyclist,51-70,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
Occupant,0-20,Injured,,,,,,,,
